BookID,Title,Author,Rating,Number of raters,5 stars,4 stars,3 stars,2 stars,1 star,Number of reviewers,Pages,Book format,Language,GenreLink,Series,PublishYear
12200006,The Light of Asia: The Life & Teaching of Gautama Buddha,Edwin Arnold,4.1,254,105,85,52,9,3,29,238,Hardcover,English,949935,None,1879
12200015,A Tree Grows in Brooklyn,Betty  Smith,4.27,401468,199943,132060,53040,11669,4756,21631,430,Mass Market Paperback,English,833257,None,1943
11301,Horton Hatches the Egg,Dr. Seuss,4.16,44337,22227,11149,7757,2041,1163,773,64,Paperback,English,13809,Horton the Elephant,1940
12200031,Dragon's Breath,E.D. Baker,4.05,12118,4683,4135,2686,502,112,404,292,Paperback,English,5992787,The Tales of the Frog Princess,2003
12200038,Aria of the Sea,Dia Calhoun,3.81,695,179,271,192,43,10,63,270,Paperback,English,1677050,None,2000
12200060,Gates of Hades,Gregg Loomis,3.61,234,52,77,76,20,9,20,270,Kindle Edition,English,565139,Jason Peters,2007
12200063,Gods Without Men,Hari Kunzru,3.64,3895,760,1551,1112,370,102,573,352,Kindle Edition,English,15997619,None,2011
12200069,My Revolutions,Hari Kunzru,3.54,1443,236,525,513,126,43,211,288,Kindle Edition,English,1449038,None,2007
12200064,The Hippopotamus Pool,Elizabeth Peters,4.18,10504,4041,4472,1824,143,24,376,404,Kindle Edition,English,122041,Amelia Peabody  ,1996
41993,Kiss,Jill Mansell,3.7,2649,720,818,801,220,90,161,512,Paperback,English,41493,None,1993
12200092,Starcarbon,Ellen Gilchrist,3.88,379,114,141,93,26,5,18,330,Hardcover,English,625544,None,1994
147937,The Pegasus Secret,Gregg Loomis,3.63,1440,347,461,439,144,49,76,369,Paperback,English,142767,Lang Reilly,2005
12200096,Swallows and Amazons,"Arthur Ransome, Alison Larkin",3.98,29495,11388,9602,5865,1702,938,1099,0,Audio CD,English,231599,Swallows and Amazons,1930
12200101,The Coptic Secret,Gregg Loomis,3.78,387,105,131,119,26,6,21,336,Paperback,English,40757541,Lang Reilly,2009
12200095,Swallows and Amazons,"Arthur Ransome, Alison Larkin",3.98,29495,11388,9602,5865,1702,938,1099,9,Audio CD,English,231599,Swallows and Amazons,1930
12200106,The Three Musketeers,Alexandre Dumas,4.07,283071,107884,105051,56162,10606,3368,7183,0,ebook,English,1263212,The D'Artagnan Romances,1844
12200107,"The Vicomte de Bragelonne Or Ten Years Later being the completion of ""The Three Musketeers"" And ""Twenty Years After""",Alexandre Dumas,3.98,7924,2721,2862,1888,371,82,261,0,ebook,English,21838371,The D'Artagnan Romances,1847
791442,"Ernesto Guevara, también conocido como el Che",Paco Ignacio Taibo II,4.27,1007,498,328,142,28,11,66,766,Paperback,Spanish,777426,None,1996
18888853,A Young Girl's Diary,"Grete Lainer, M. Eden Paul, Cedar Paul, Sigmund Freud",3.59,432,124,111,122,48,27,37,173,Kindle Edition,English,434899,None,1915
12200183,"Origins: Speculations on the Cosmos, Earth and Mankind",Hubert Reeves,4.1,556,201,233,103,15,4,41,224,Paperback,English,1331909,None,1996
12200179,Les Confessions de Mr Harrison,"Elizabeth Gaskell, Béatrice Vierne",3.72,767,150,327,229,49,12,152,270,Nook,French,1153844,None,1851
114119,Thinking Of You,Jill Mansell,3.82,7551,1997,2872,2171,379,132,324,416,Hardcover,English,411736,None,2007
12200283,PinkMuffin@BerryBlue. Betreff: IrrLäufer,"Hortense Ullrich, Joachim Friedrich",3.67,304,74,103,86,34,7,13,270,Kindle Edition,German,2564129,PinkMuffin@BerryBlue,2007
12200286,Neurosciences: À la découverte du cerveau,"Mark F. Bear, Barry F. Connors, Michael A. Paradisio, Andre Nieoullon",4.26,1102,549,358,140,43,12,37,654,Paperback,French,164162,None,1995
12200274,Cancer Ward,"Aleksandr Solzhenitsyn, Nicholas Bethell, David Burg",4.22,14048,6377,5079,2058,396,138,750,559,Mass Market Paperback,English,3202343,None,1968
12200296,The First Wife,Emily Barr,3.68,624,136,240,178,54,16,53,0,Hardcover,English,15490248,None,2011
12200318,The Deluge,Henryk Sienkiewicz,3.87,3574,1315,1153,629,295,182,67,0,Kindle Edition,German,1096450,The Trilogy,1886
12200321,The Language of Flowers,Vanessa Diffenbaugh,4.08,199543,70751,85225,34927,6760,1880,20129,320,Paperback,English,14928278,None,2011
12200337,Książka,Mikołaj Łoziński,3.48,231,24,97,79,28,3,22,180,Paperback,Polish,17172990,None,2011
12200338,A Spy for the Redeemer,Candace Robb,4.07,1112,403,445,221,28,15,31,400,Kindle Edition,English,1116353,Owen Archer,1999
12200351,Sintflut,Henryk Sienkiewicz,3.87,3574,1315,1153,629,295,182,67,395,Hardcover,German,1096450,The Trilogy,1886
12200431,Gullives Reisen,Jonathan Swift,3.58,240375,49542,79092,79857,24483,7401,5831,399,Hardcover,German,2394716,None,1726
12200492,Ga niet naar zee,Tommy Wieringa,3.68,203,30,101,53,16,3,17,284,Hardcover,Dutch,17173149,None,2010
12200493,Les mis?rables Tome V Jean Valjean,Victor Hugo,4.44,630,369,188,60,10,3,51,0,ebook,English,19929051,Les Misérables,1862
12200511,Stay Out of the Basement,R.L. Stine,3.68,17022,4960,4359,5439,1835,429,807,122,Hardcover,English,120907,Goosebumps,1992
12200561,البحث عن يسوع,"Kamal Salibi, كمال الصليبي",3.56,187,42,56,64,15,10,31,208,Paperback,Arabic,6836734,None,1992
12200594,Fly by Night,Frances Hardinge,3.78,6438,1967,2147,1545,517,262,801,486,Hardcover,English,198421,Fly by Night,2005
12200620,Tintenherz,"Cornelia Funke, Rainer Strecker",3.88,390108,134172,128209,87939,28236,11552,12414,18,Audible Audio,German,2628323,Inkworld,2003
11112619,Fever,Lauren DeStefano,3.78,44121,13229,14290,11540,3729,1333,3327,341,Hardcover,English,16035084,The Chemical Garden,2012
12200638,Annie's Hero,Maggie Shayne,4.05,202,86,60,39,14,3,23,0,Nook,English,1671377,Fairies of Rush,1997
12200662,"Ayesha, the Return of She",H. Rider Haggard,3.76,1909,525,636,556,153,39,103,359,Hardcover,English,18650125,Ayesha ,1905
12200664,Am hellichten Tag,"Simone van der Vlugt, Eva Schweikart",3.56,1141,165,448,411,98,19,56,256,Paperback,German,13368862,None,2010
12200670,"Ayesha, the Return of She",H. Rider Haggard,3.76,1909,525,636,556,153,39,103,270,Nook,English,18650125,Ayesha ,1905
12200669,Ayesha: the return of She,H. Rider Haggard,3.76,1909,525,636,556,153,39,103,270,Nook,English,18650125,Ayesha ,1905
12200678,Tao Te Ching,"Lao Tzu, Gia-Fu Feng, Jane English, Toinette Lippe, Jacob Needleman",4.27,126723,67550,35261,16901,4522,2489,5274,184,Paperback,English,100074,None,2011
12200666,Ayesha: the return of She,H. Rider Haggard,3.76,1909,525,636,556,153,39,103,270,Nook,English,18650125,Ayesha ,1905
12200684,Fruit-Gathering,Rabindranath Tagore,3.89,225,79,69,54,19,4,30,0,ebook,English,2093815,None,1916
12200681,Gnade,"Toni Morrison, Maren Kroymann, Thomas Piltz",3.69,25198,6129,9134,6790,2186,959,2953,270,Paperback,English,3039966,None,2008
12200690,Le petit chose: histoire d'un enfant,"Alphonse Daudet, Camille Fontaine",3.73,1465,410,465,414,138,38,64,0,Nook,English,1302899,None,1868
12200708,Fruit gathering,Rabindranath Tagore,3.89,225,79,69,54,19,4,30,0,Nook,English,2093815,None,1916
12200704,Le petit chose: histoire d'un enfant,Alphonse Daudet,3.73,1465,410,465,414,138,38,64,0,Nook,English,1302899,None,1868
12200712,Les deux cultures,C.P. Snow,3.67,1136,224,438,364,90,20,115,270,Paperback,English,365239,None,1959
12200717,Fruit gathering,Rabindranath Tagore,3.89,225,79,69,54,19,4,30,0,Nook,English,2093815,None,1916
12200705,Samson's Lovely Mortal,Tina Folsom,3.94,17142,5934,6130,3591,1010,477,1029,270,ebook,English,13320922,Scanguards Vampires,2010
12200728,Fish,"L.S. Matthews, Jenna Lamia",3.76,676,184,243,174,56,19,108,0,Audiobook,English,948000,None,2003
12200727,Tristan and Isolde,Richard Wagner,3.83,734,235,226,201,59,13,31,0,Nook,English,1204833,None,1865
12200731,Fruit gathering,Rabindranath Tagore,3.89,225,79,69,54,19,4,30,0,Nook,English,2093815,None,1916
12200740,Alles ist erleuchtet,Jonathan Safran Foer,3.89,169892,56447,60367,35920,11998,5160,7966,384,Kindle Edition,German,886727,None,2002
12200743,Fruit-gathering,Rabindranath Tagore,3.89,225,79,69,54,19,4,30,0,Nook,English,2093815,None,1916
12200753,Fruit-Gathering,Rabindranath Tagore,3.89,225,79,69,54,19,4,30,0,ebook,English,2093815,None,1916
12200739,Histoire d'un enfant,Alphonse Daudet,3.73,1465,410,465,414,138,38,64,270,Paperback,English,1302899,None,1868
12200754,Go Tell It on the Mountain,James Baldwin,4.01,56657,19904,22388,10592,2602,1171,3243,242,Kindle Edition,English,1027995,None,1953
12200751,Fruit-gathering,Rabindranath Tagore,3.89,225,79,69,54,19,4,30,0,Nook,English,2093815,None,1916
12200757,Shadows of Ecstasy,Charles  Williams,3.64,251,58,77,87,26,3,29,289,Nook,English,593254,None,1933
4588,Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97,391869,146383,134481,74978,24998,11029,23616,326,Paperback,English,1940137,None,2005
66415,Chitra - A Play in One Act,Rabindranath Tagore,3.73,380,92,134,124,21,9,40,48,Paperback,English,16804608,None,1892
12200763,The Crescent Moon,Rabindranath Tagore,4.1,321,134,108,61,14,4,36,0,ebook,English,85985452,None,1913
12200772,Cerberus: A Wolf in the Fold,Jack L. Chalker,3.93,1621,485,619,440,70,7,30,206,Nook,English,571256,The Four Lords of the Diamond,1981
12200771,Aurora Leigh,Elizabeth Barrett Browning,3.74,2212,583,760,629,183,57,123,270,Nook,English,1822727,None,1856
12200764,Tiere Essen,"Jonathan Safran Foer, Brigitte Jakobeit, Isabel Bogdan, Ingo Herzke",4.2,69530,30404,26366,9694,2189,877,6726,288,Kindle Edition,German,3149322,None,2009
12200776,Many Dimensions,Charles  Williams,3.9,643,190,247,157,47,2,80,269,Kindle Edition,English,138159,None,1930
12200780,Wer Immer Sterbend Sich Bemüht,"Roger Zelazny, Robert Sheckley",3.74,1370,369,452,395,129,25,31,270,Paperback,German,307684,Millennial Contest,1993
12200779,Shark's Teeth,Tim Pratt,3.95,153,45,61,42,5,0,5,0,Nook,English,16075782,Marla Mason,2010
12200778,Aurora Leigh,Elizabeth Barrett Browning,3.74,2212,583,760,629,183,57,123,0,Nook,English,1822727,None,1856
12200804,Colomba,"Prosper Mérimée, A.R. Scoble",3.54,805,137,269,300,87,12,48,0,Nook,English,1810666,None,1840
12200775,The Report on Unidentified Flying Objects,Edward J. Ruppelt,3.71,191,61,50,53,18,9,19,0,ebook,English,2327254,None,1956
12200822,The Yanomamo,Napoleon A. Chagnon,3.58,1210,261,411,368,112,58,69,336,Paperback,English,220565,None,2012
12200825,The Temple Mount Code,Charles Brokaw,3.91,1349,420,502,325,83,19,79,353,Kindle Edition,English,15758958,Thomas Lourds,2011
97393,The Poems of François Villon,"François Villon, Galway Kinnell",4.17,1518,709,469,256,62,22,58,270,Paperback,English,93882,None,1459
12200823,3096 Jours,"Natascha Kampusch, Olivier Mannoni, Leïla Pellissier",3.91,10067,3000,3899,2513,534,121,775,320,Mass Market Paperback,French,14127555,None,2010
12200885,The princess Casamassima,Henry James,3.79,736,195,275,195,55,16,89,0,Nook,English,1017098,None,1885
12200884,The princess Casamassima,Henry James,3.79,736,195,275,195,55,16,89,0,Nook,English,1017098,None,1885
12200886,The princess Casamassima,Henry James,3.79,736,195,275,195,55,16,89,0,Nook,English,1017098,None,1885
10345927,A Million Suns,Beth Revis,4.02,52959,19797,19168,10358,2496,1140,4064,386,Hardcover,English,15248718,Across the Universe,2012
107702,The Trouble With Islam Today: A Muslim's Call for Reform in Her Faith,Irshad Manji,3.66,1659,438,568,406,138,109,189,240,Paperback,English,2115850,None,2003
12200937,Great Big Treasury of Beatrix Potter,Beatrix Potter,4.15,396,174,126,81,11,4,47,270,Kindle Edition,English,817932,None,1992
12200941,The Tale of Ginger and Pickles,Beatrix Potter,3.78,1684,519,489,506,134,36,112,270,Kindle Edition,English,2267121,The World of Beatrix Potter: Peter Rabbit,1909
12200945,Flights of Angels,Victoria Connelly,3.83,280,96,80,73,22,9,23,305,Kindle Edition,English,6478620,None,2006
9104151,The Creeper,Tania Carver,3.93,1833,586,677,449,101,20,184,480,Paperback,English,13982548,Brennan & Esposito,2009
12200949,Many Dimensions,Charles  Williams,3.9,643,190,247,157,47,2,80,270,Paperback,English,138159,None,1930
12200940,Tempt Me at Twilight,Lisa Kleypas,4.18,35962,14826,13996,6058,852,230,1971,385,Kindle Edition,English,6447962,The Hathaways,2009
12200952,Der Stalker,"Tania Carver, Sybille Uplegger",3.93,1833,586,677,449,101,20,184,480,Paperback,German,13982548,Brennan & Esposito,2009
12200954,The Case Of Jennie Brice,Mary Roberts Rinehart,3.57,791,134,266,317,63,11,108,270,Paperback,English,2171775,None,1913
12201026,In einer stürmischen Nacht,"Sally Smith O'Rourke, Barbara Röhl",3.55,162,34,53,45,28,2,44,192,Paperback,German,4412992,None,2008
12201073,Exposed,Ashley Weis,3.61,363,88,125,90,41,19,64,318,Kindle Edition,English,14145693,None,2010
585957,Kennedy,Theodore C. Sorensen,4.16,882,386,300,156,32,8,30,784,Hardcover,English,1365252,None,1965
12201100,"Happy Birthday, Felicity!: A Springtime Story","Valerie Tripp, Dan Andreasen",3.93,3905,1394,1150,1118,199,44,57,0,Library Binding,English,829099,American Girl: Felicity,1992
12201103,History of Alexander the Great,"Jacob Abbott, Charles River Editors",3.58,921,160,342,315,81,23,75,270,Kindle Edition,English,6119678,None,1849
12201118,Niccolo Rising,Dorothy Dunnett,4.27,3969,2021,1275,467,133,73,347,491,Kindle Edition,English,1936313,The House of Niccolò,1986
12201119,Madame Bovary,"Gustave Flaubert, Yuan Shi",3.68,268665,69615,90737,72404,25502,10407,11420,270,Kindle Edition,English,2766347,None,1857
12201122,The Spring of the Ram,Dorothy Dunnett,4.4,2576,1400,860,270,44,2,121,592,Kindle Edition,English,1145573,The House of Niccolò,1987
12201116,Nothing To Fear,Karen      Rose,4.2,6611,2827,2520,1050,159,55,309,612,Kindle Edition,English,2416705,Chicago,2005
12201139,Lenore,"Edgar Allan Poe, George T. Andrew, Henry Sandham",4.08,438,179,147,87,19,6,31,44,Paperback,English,6623538,None,1833
12201141,Lenore,Edgar Allan Poe,4.08,438,179,147,87,19,6,31,0,Nook,English,6623538,None,1833
12201140,Lenore,"Edgar Allan Poe, Henry Sandham",4.08,438,179,147,87,19,6,31,0,Nook,English,6623538,None,1833
12201153,The Body: A Novel,Hanif Kureishi,3.57,1085,189,389,381,103,23,79,172,Kindle Edition,English,24042,None,2002
12201171,Saint-Exupery: A Biography,Stacy Schiff,4.02,316,132,91,68,18,7,35,544,Kindle Edition,English,11750,None,1994
307265,The Priestly Sins,Andrew M. Greeley,3.7,507,126,173,154,40,14,49,384,Paperback,English,755421,None,2004
12201195,Pets in a Pickle,Malcolm D. Welshman,3.36,781,141,183,306,119,32,124,270,Kindle Edition,English,16271674,Prospect House,2006
12201201,Love Celeb #2,Mayu Shinjō,3.89,590,226,156,142,52,14,6,192,Paperback,Spanish,2731587,ラブセレブ / Love Celeb,2006
12201197,Requiem for a Gypsy,"Michael Genelin, Suzanne Toren",3.67,162,23,78,48,11,2,27,10,Audio CD,English,15556784,Commander Jana Matinova ,2011
45961,Soul Mountain,"Gao Xingjian, Mabel Lee",3.59,4531,1137,1442,1158,540,254,545,510,Paperback,English,45123,None,1989
12201219,The Island of Dr. Moreau,H.G. Wells,3.73,101564,22646,39270,30793,7111,1744,4533,270,Kindle Edition,English,68894,None,2012
597790,The Children of Húrin,"J.R.R. Tolkien, Christopher Tolkien, Alan       Lee",3.97,71618,24602,26619,15102,3910,1385,3439,313,Hardcover,English,5725966,Middle-earth Universe,2007
23603,Tales from the Perilous Realm,J.R.R. Tolkien,4.08,7492,2720,2992,1485,252,43,579,178,Paperback,English,1221958,Middle-earth Universe,1997
472800,Don't Move,"Margaret Mazzantini, John Cullen",3.79,6288,1935,2140,1443,522,248,337,368,Hardcover,English,461069,None,2001
12201238,The Fallen,Celia Thomson,3.55,3414,772,996,1105,415,126,293,270,Kindle Edition,English,1099361,The Nine Lives of Chloe King,2004
12201267,The Best of Men,Claire Letemendia,3.44,158,18,58,60,19,3,37,704,Paperback,English,6514053,Laurence Beaumont,2009
12201275,The Autumn Castle,Kim Wilkins,3.92,836,284,291,187,58,16,92,480,Kindle Edition,English,1685821,Europa,2003
12201289,Miss Fozzard Findet Ihre Füße,"Alan Bennett, Ingo Herzke",4.1,250,93,101,46,7,3,18,144,Hardcover,German,386209,None,1998
12201292,The Nightmare Room   My Name Is Evil,R.L. Stine,3.54,652,160,166,217,82,27,38,160,ebook,English,170683,The Nightmare Room,1983
12201303,The Midwife of Venice,Roberta Rich,3.59,11888,1876,4736,4008,1079,189,1361,352,Paperback,English,13327023,Midwife,2011
12201291,The Count of Monte Cristo,Alexandre Dumas,4.26,774041,399611,228586,106526,26660,12658,22676,728,Kindle Edition,English,391568,None,1844
12201301,Waterlog,Roger  Deakin,4.32,1843,959,606,214,45,19,192,354,Paperback,English,1444920,None,1999
7264944,Sweet Temptation,Lucy Diamond,4.03,2987,1096,1094,628,127,42,203,447,Paperback,English,8355043,None,2010
12201309,Southern Gods,John Hornor Jacobs,3.71,1683,353,695,468,121,46,277,266,Kindle Edition,English,15816257,None,2011
12201312,All Good Things...,Michael Jan Friedman,3.91,1151,365,394,323,60,9,42,256,Kindle Edition,English,1079550,Star Trek: The Next Generation,1994
12201323,Unstuff Your Life!: Kick the Clutter Habit and Completely Organize Your Life for Good,Andrew Mellen,3.68,1357,351,439,383,148,36,157,402,Kindle Edition,English,11016813,None,2010
12201326,Notes from Walnut Tree Farm,Roger  Deakin,4.32,640,315,233,79,8,5,69,317,Kindle Edition,English,4375388,None,2008
12201329,Prophet's Prey: My Seven-Year Investigation into Warren Jeffs and the Fundamentalist Church of Latter-Day Saints,"Sam Brower, Jon Krakauer",3.96,5457,1663,2251,1260,222,61,503,311,Kindle Edition,English,16424959,None,2011
12201357,Second Son,Lee Child,3.97,34243,12022,12425,7377,1636,783,997,40,Kindle Edition,English,17156027,Jack Reacher,2011
12201387,The Starfollowers of Coramonde,Brian Daley,3.82,411,99,173,108,27,4,14,371,Kindle Edition,English,993458,Coramonde,1979
12201386,The Doomfarers of Coramonde,Brian Daley,3.84,1023,285,382,280,58,18,46,270,Kindle Edition,English,1171240,Coramonde,1977
1422250,Vampires are Forever,Lynsay Sands,4.26,18419,8858,6041,3009,432,79,453,361,Mass Market Paperback,English,2968948,Argeneau,2008
12201407,The Marked Son,Shea Berkley,3.55,792,195,237,225,80,55,147,334,Nook,English,16889995,Keepers of Life,2011
12201432,The Shelter of God's Promises,Sheila Walsh,4.09,476,176,195,84,15,6,55,0,Audiobook,English,15029591,None,2011
12201467,The Renegade Hunter (Argeneau #12),Lynsay Sands,4.33,14466,7363,4839,1943,264,57,412,400,Kindle Edition,English,6421777,Argeneau,2009
12201470,Evil in Return,Elena Forbes,3.59,294,47,110,113,18,6,48,416,ebook,English,12754681,Mark Tartaglia ,2010
