BookID,Title,Author,Rating,Number of raters,5 stars,4 stars,3 stars,2 stars,1 star,Number of reviewers,Pages,PublishDate,Book format,Language,GenreLink,Series,Raters
1200002,L'uomo che guarda,Alberto Moravia,3.61,521,92,195,182,41,11,35,218.0,1978,Paperback,Italian,660864,,521
1200013,All Aunt Hagar's Children,Edward P. Jones,3.8,1899,561,666,454,163,55,260,,August 29th 2006,Audio CD,English,258132,,1899
1200018,Grammar Of Ornament,Owen    Jones,4.34,226,115,76,31,4,0,20,,1856,,,1159525,,226
1200028,Fleeced,Carol Higgins Clark,3.76,2430,627,809,794,173,27,126,368.0,October 23rd 2001,Paperback,English,164404,Regan Reilly Mysteries,2430
1200031,Fleeced,Carol Higgins Clark,3.76,2430,627,809,794,173,27,126,,October 23rd 2001,Unknown Binding,English,164404,Regan Reilly Mysteries,2430
1200033,Fleeced,Carol Higgins Clark,3.76,2430,627,809,794,173,27,126,,October 23rd 2001,Audio CD,English,164404,Regan Reilly Mysteries,2430
1200042,Recipes for a Perfect Marriage,"Morag Prunty, Kate Kerrigan",3.68,1644,369,613,469,148,45,303,304.0,2003,Paperback,English,1188176,,1644
1200035,Fleeced,Carol Higgins Clark,3.76,2430,627,809,794,173,27,126,,May 1st 1999,Hardcover,English,164404,Regan Reilly Mysteries,2430
1200044,Recipes For A Perfect Marriage,Kate Kerrigan,3.68,1644,369,613,469,148,45,303,,2003,,,1188176,,1644
1200045,Recipes for a Perfect Marriage,Morag Prunty,3.68,1644,369,613,469,148,45,303,422.0,2003,Hardcover,English,1188176,,1644
1200046,Recipes for a Perfect Marriage,Morag Prunty,3.68,1644,369,613,469,148,45,303,320.0,2003,Hardcover,English,1188176,,1644
1200047,"Fanchon, the Cricket: Or, La Petite Fadette: With A New Chronology Of The Life And Works",George Sand,3.88,2840,898,967,746,180,49,135,203.0,1848,,English,1810799,,2840
32145,Stiff: The Curious Lives of Human Cadavers,Mary Roach,4.05,181311,67404,69694,33607,7323,3283,14150,303.0,April 17th 2003,Paperback,English,1188203,,181311
