BookID,Title,Author,Rating,Number of raters,Number of reviewers,Pages,PublishDate,Book format,Language,GenreLink,Series
500001,My Heart: 101 Poems about Love and Relationships,Olga V. Krivopustova,0.00,0,0,151,June 30th 2003,Paperback,English,,
500006,"New York Times Practical Traveler Handbook:, The: An A-Z Guide for Being Well Prepared on Trips of All Kinds",Betsy Wade,3.50,2,0,286,April 26th 1994,Paperback,English,/work/shelves/488119,
500003,"Driftwood: 101 Poems & ""Hanna""-A Spiritual Story about How a Broken Marriage Affects a Little Girl's Life.",Andrew D. Everstine,0.00,0,1,424,December 28th 2000,Paperback,English,,
500005,Once Upon a Rhyme: 101 Poems for Young Children,"Sara Corrin, Stephen Corrin",5.00,1,0,157,January 1st 1982,Hardcover,English,,
500010,101 Great Poems of America,"Contemporary Books, Inc.",4.00,1,0,142,April 1992,Hardcover,English,,
500002,Oasis 101: Poems to Spark the Imagination,Vern Alford,0.00,0,0,144,February 1st 2006,Paperback,English,,
500004,101 Poems of a Madman,Joseph Walther Damiano,0.00,0,0,136,September 13th 2004,Paperback,English,,
500011,The New York Times on The Sopranos,"The New York Times, Stephen Holden",3.19,21,1,160,June 7th 2000,Paperback,,/work/shelves/488124,
500013,101 Patriotic Poems,Contemporary Books Inc.,3.50,4,0,138,September 1986,Hardcover,English,,
500007,101 Famous Poems with a Prose Supplement: An Anthology,"Roy Jay Cook, Henry Wadsworth Longfellow, William Shakespeare, Walt Whitman, Oliver Wendell Holmes Sr., Phillips Brooks, Eugene Field, William Wordsworth",4.26,1281,179,199,1916,Hardcover,English,/work/shelves/295751,
500012,101 Patriotic Poems,Contemporary Books Inc.,3.50,4,0,144,September 1986,Hardcover,English,,
500008,New York Times Practical Traveler,Paul Grimes,3.00,2,0,411,April 12th 1985,Paperback,English,/work/shelves/488121,
500016,Modern American Poetry,Harold Bloom,4.20,5,0,509,October 31st 2004,Hardcover,English,,Bloom's Period Studies
500014,"The Apology, Phaedo & Crito of Plato/Golden Sayings of Epictetus/Meditations of Marcus Aurelius 2 Harvard Classics","Charles William Eliot, Marcus Aurelius, Plato, Epictetus",4.13,243,30,360,1907,Hardcover,English,/work/shelves/46097359,
500009,The Meditations of Marcus Aurelius,Marcus Aurelius,4.22,137317,7096,104,January 1st 2005,Paperback,English,/work/shelves/31010,
500019,A.E. Housman,"Lisa Hirschman, Lisa Hirschman",3.00,1,0,170,April 2003,Hardcover,English,/work/shelves/488132,
500020,Thomas Gray's Elegy Written in a Country Churchyard (Modern Critical Interpretations),Harold Bloom,3.75,4,0,151,December 1st 1991,Hardcover,English,,
500021,Biogeography And Quaternary History In Tropical America,Ghillean T. Prance,0.00,0,0,,September 3rd 1987,Hardcover,English,,
500017,The Best of the Best American Poetry 1988-97 (Best American Poetry),"Harold Bloom, David Lehman",3.55,76,11,383,1990,Hardcover,English,/work/shelves/6848123,
