GenreLink,Genre,NumberOfPeople
/work/shelves/96416,to-read,473
/work/shelves/96416,science,12
/work/shelves/96416,physics,8
/work/shelves/96416,non-fiction,6
/work/shelves/96416,currently-reading,3
/work/shelves/96416,audio_wanted,2
/work/shelves/96416,owned,2
/work/shelves/96416,nonfiction,2
/work/shelves/96416,smithsonian,1
/work/shelves/96416,library,1
/work/shelves/96416,rare,1
/work/shelves/96416,to-listen,1
/work/shelves/96416,default,1
/work/shelves/96416,2021-reads,1
/work/shelves/96416,home-library,1
/work/shelves/96416,read-educational-related-books,1
/work/shelves/96416,ll-want_audio,1
/work/shelves/96416,audible-unread,1
/work/shelves/96416,audible-library,1
/work/shelves/96416,quantum-physics,1
/work/shelves/96416,has-audiobook,1
/work/shelves/96416,to-read-physics-related,1
/work/shelves/96416,science-astronomy-physics,1
/work/shelves/96416,reference,1
/work/shelves/96416,audible,1
/work/shelves/96416,a-moi,1
/work/shelves/96416,have-audiobook,1
/work/shelves/96416,want-to-get,1
/work/shelves/96416,history-of-information,1
/work/shelves/96416,hardcover,1
/work/shelves/96416,bookshelf,1
/work/shelves/96416,audible-wishlist,1
/work/shelves/96416,stephen-hawking,1
/work/shelves/96416,being-science-pop-psych,1
/work/shelves/96416,owned-books,1
/work/shelves/96416,sciences,1
/work/shelves/96416,research,1
/work/shelves/96416,want-to-own,1
/work/shelves/96416,princess-chelsea,1
/work/shelves/96416,science-and-popular-science,1
/work/shelves/96416,i-fucking-love-science,1
/work/shelves/96416,to-read-science,1
/work/shelves/96416,my-library,1
/work/shelves/96416,علوم,1
/work/shelves/96416,sci-fi,1
/work/shelves/96416,reference-library,1
/work/shelves/96416,audiobook,1
/work/shelves/96416,mathematics,1
/work/shelves/96416,physics-and-cosmology,1
/work/shelves/96416,books-i-own-electronically,1
/work/shelves/96416,audiobooks,1
/work/shelves/96416,want-to-read,-1
/work/shelves/96423,to-read,30
/work/shelves/96423,nonfiction,4
/work/shelves/96423,natural-history,2
/work/shelves/96423,non-fiction,2
/work/shelves/96423,if,1
/work/shelves/96423,unread-shelf-project-2020,1
/work/shelves/96423,own,1
/work/shelves/96423,animals-popular,1
/work/shelves/96423,000ews-s-10-4-animal,1
/work/shelves/96423,non-fiction-science,1
/work/shelves/96423,couldn-t-get-through-would-not-rec,1
/work/shelves/96423,adult-books,1
/work/shelves/96423,default,1
/work/shelves/96423,other-non-fiction,1
/work/shelves/96423,animals-and-nature,1
/work/shelves/96423,educational,1
/work/shelves/96423,science,1
/work/shelves/96423,animal-studies,1
/work/shelves/96423,animals,1
/work/shelves/96423,mine,1
/work/shelves/96423,2011,1
/work/shelves/96423,000rws-s-10-4-animal,-1
/work/shelves/96428,to-read,183
/work/shelves/96428,thriller,20
/work/shelves/96428,fiction,12
/work/shelves/96428,currently-reading,10
/work/shelves/96428,adventure,10
/work/shelves/96428,owned,9
/work/shelves/96428,mystery,9
/work/shelves/96428,default,5
/work/shelves/96428,action-adventure,5
/work/shelves/96428,own,4
/work/shelves/96428,suspense,4
/work/shelves/96428,desmond-bagley,3
/work/shelves/96428,adventure-thriller,2
/work/shelves/96428,crime-thriller,2
/work/shelves/96428,owned-books,2
/work/shelves/96428,e-book,2
/work/shelves/96428,1,2
/work/shelves/96428,mystery-thriller,2
/work/shelves/96428,my-library,2
/work/shelves/96428,library,2
/work/shelves/96428,action,2
/work/shelves/96428,paperback,2
/work/shelves/96428,male-author,1
/work/shelves/96428,owned-paper,1
/work/shelves/96428,div-gb,1
/work/shelves/96428,read-before-1994,1
/work/shelves/96428,disease,1
/work/shelves/96428,got-book-s,1
/work/shelves/96428,grenier,1
/work/shelves/96428,novels-a-e,1
/work/shelves/96428,rnib,1
/work/shelves/96428,dad,1
/work/shelves/96428,to-buy,1
/work/shelves/96428,f-8,1
/work/shelves/96428,owned-digital,1
/work/shelves/96428,audiobook,1
/work/shelves/96428,2020,1
/work/shelves/96428,eigendom,1
/work/shelves/96428,thiller,1
/work/shelves/96428,australia,1
/work/shelves/96428,on-the-shelf,1
/work/shelves/96428,4-star,1
/work/shelves/96428,novels,1
/work/shelves/96428,suspense-thriller-adventure,1
/work/shelves/96428,1_owned,1
/work/shelves/96428,ulkomaalaiset-rikoskirjat,1
/work/shelves/96428,0-keine-ausleihe,1
/work/shelves/96428,not-interested,1
/work/shelves/96428,wtr-in-collection,1
/work/shelves/96428,crime-thriller-mystery,1
/work/shelves/96428,read-in-2008,1
/work/shelves/96428,fiction-general,1
/work/shelves/96428,ebook_nl,1
/work/shelves/96428,cri-gb,1
/work/shelves/96428,728,1
/work/shelves/96428,detective-fiction,1
/work/shelves/96428,bmhl,1
/work/shelves/96428,desmond-bagely,1
/work/shelves/96428,moffas-böcker,1
/work/shelves/96428,ole,1
/work/shelves/96428,kindle_mc,1
/work/shelves/96428,british-thriller,1
/work/shelves/96428,nie-dostępne,1
/work/shelves/96428,espionage-war,1
/work/shelves/96428,min-ejendom,1
/work/shelves/96428,world-reading-challenge,1
/work/shelves/96428,overloop-boekenkast,1
/work/shelves/96428,own-in-kindle,1
/work/shelves/96428,niedostępne,1
/work/shelves/96428,kvevollen,1
/work/shelves/96428,reolen,1
/work/shelves/96428,krimi-spænding,1
/work/shelves/96428,e-bog,1
/work/shelves/96428,thriller-adventure,1
/work/shelves/96428,find-cover,1
/work/shelves/96428,fiction-thriller,1
/work/shelves/96428,fiction-mystery,1
/work/shelves/96428,fiction-crime-and-thriller,1
/work/shelves/96428,fiction-action,1
/work/shelves/96428,e-books,1
/work/shelves/96428,_ita,1
/work/shelves/96428,2-keller-autor,1
/work/shelves/96428,e-books-to-read,1
/work/shelves/96428,a-bit-dated,1
/work/shelves/96428,travel,1
/work/shelves/96428,crime,1
/work/shelves/96428,ridderberg,1
/work/shelves/96428,unread,1
/work/shelves/96428,horror-thriller,1
/work/shelves/96428,sp-nding,1
/work/shelves/96428,1982,1
/work/shelves/96428,my-boiks,1
/work/shelves/96428,charity-and-read,1
/work/shelves/96428,iown_fiction,1
/work/shelves/96428,exit-2016,1
/work/shelves/96428,jken-s,1
/work/shelves/96428,hardcopy,1
/work/shelves/96428,to-read-novels,1
/work/shelves/96428,import,1
/work/shelves/96428,ereader,1
/work/shelves/6153,to-read,849
/work/shelves/6153,science,51
/work/shelves/6153,non-fiction,27
/work/shelves/6153,physics,18
/work/shelves/6153,currently-reading,18
/work/shelves/6153,biography,17
/work/shelves/6153,default,13
/work/shelves/6153,nonfiction,12
/work/shelves/6153,own,9
/work/shelves/6153,books-i-own,7
/work/shelves/6153,astronomy,6
/work/shelves/6153,my-library,5
/work/shelves/6153,owned,4
/work/shelves/6153,reference,4
/work/shelves/6153,popular-science,3
/work/shelves/6153,owned-books,3
/work/shelves/6153,nature,3
/work/shelves/6153,stephen-hawking,3
/work/shelves/6153,memoir,2
/work/shelves/6153,2017,2
/work/shelves/6153,physical-library,2
/work/shelves/6153,paperback,2
/work/shelves/6153,space,2
/work/shelves/6153,science-tech,2
/work/shelves/6153,science-nature,2
/work/shelves/6153,cosmology,2
/work/shelves/6153,scientific-naturalism,1
/work/shelves/6153,did-not-keep,1
/work/shelves/6153,books-to-read,1
/work/shelves/6153,bc,1
/work/shelves/6153,05-format-hard-copy,1
/work/shelves/6153,02-library-ofallon-public-library,1
/work/shelves/96426,to-read,19
/work/shelves/96426,young-readers,2
/work/shelves/6153,not-keeping,1
/work/shelves/6153,smithsonian,1
/work/shelves/6153,books-to-look-at,1
/work/shelves/6153,10-genre-non-fiction,1
/work/shelves/6153,got-it,1
/work/shelves/6153,auto-biography,1
/work/shelves/6153,2021-reads,1
/work/shelves/6153,studying,1
/work/shelves/6153,home-library,1
/work/shelves/96426,childhood,2
/work/shelves/96426,fiction,2
/work/shelves/96426,childrens,2
/work/shelves/96426,fantasy,2
/work/shelves/96426,picture-book,1
/work/shelves/96426,dnf,1
/work/shelves/96426,literatura-estrangeira,1
/work/shelves/6153,science-geek,1
/work/shelves/6153,classics,1
/work/shelves/6153,develop,1
/work/shelves/6153,memoir-biography-autobiography,1
/work/shelves/6153,white-male-authors,1
/work/shelves/6153,science-ish,1
