GenreLink,Genre,NumberOfPeople
/work/shelves/488119,to-read,3
/work/shelves/488119,nonfiction,2
/work/shelves/488119,travel,1
/work/shelves/46097359,to-read,343
/work/shelves/46097359,currently-reading,72
/work/shelves/46097359,philosophy,37
/work/shelves/46097359,own,21
/work/shelves/46097359,classics,20
/work/shelves/46097359,harvard-classics,18
/work/shelves/46097359,owned,15
/work/shelves/46097359,non-fiction,7
/work/shelves/46097359,history,6
/work/shelves/46097359,books-i-own,6
/work/shelves/46097359,nonfiction,4
/work/shelves/46097359,library,4
/work/shelves/46097359,classic,3
/work/shelves/46097359,favorites,3
/work/shelves/46097359,my-library,3
/work/shelves/46097359,hardcover,2
/work/shelves/46097359,philosophy-ethics,2
/work/shelves/46097359,on-the-shelf,2
/work/shelves/46097359,home-library,2
/work/shelves/46097359,own-it,2
/work/shelves/46097359,owned-but-unread,2
/work/shelves/46097359,fine-binding,2
/work/shelves/46097359,greats,1
/work/shelves/46097359,no-plans,1
/work/shelves/46097359,self-improvement,1
/work/shelves/46097359,philosophical_edu<br/>cation,1
/work/shelves/46097359,kindle-edition,1
/work/shelves/46097359,classic-print-copy,1
/work/shelves/46097359,jonathan,1
/work/shelves/46097359,january-december-tbr,1
/work/shelves/46097359,my-ideal-bookshelf,1
/work/shelves/46097359,november-tbr-victober-nonfiction-ja,1
/work/shelves/46097359,classical-education,1
/work/shelves/46097359,breaking-the-fourth-wall,1
/work/shelves/46097359,have-read,1
/work/shelves/46097359,want-to-own,1
/work/shelves/46097359,books-i-own-but-haven-t-finished,1
/work/shelves/46097359,owns,1
/work/shelves/46097359,harvard-classics-project,1
/work/shelves/46097359,tbc,1
/work/shelves/46097359,my-nonfiction-library,1
/work/shelves/46097359,spirituality,1
/work/shelves/46097359,own-physical,1
/work/shelves/46097359,anti-ka-filozofija,1
/work/shelves/46097359,hardcovers,1
/work/shelves/46097359,owned-hardcover,1
/work/shelves/46097359,home,1
/work/shelves/46097359,probably-won-t-finish,1
/work/shelves/46097359,on-my-shelf-but-yet-to-be-read,1
/work/shelves/46097359,myhomelibrary,1
/work/shelves/46097359,e-book,1
/work/shelves/46097359,classic-literature,1
/work/shelves/46097359,high-school,1
/work/shelves/46097359,philosophy-culture-criticism,1
/work/shelves/46097359,how-to,1
/work/shelves/46097359,tbr-nonfiction,1
/work/shelves/46097359,primary-sources-roman,1
/work/shelves/46097359,personal-collection,1
/work/shelves/46097359,read-non-fiction,1
/work/shelves/46097359,reimer-library,1
/work/shelves/46097359,want-to-read-own,1
/work/shelves/46097359,my-library-classics,1
/work/shelves/46097359,philosophy-culture,1
/work/shelves/46097359,books-i-have-at-home,1
/work/shelves/46097359,books-b-c,1
/work/shelves/46097359,stoicism,1
/work/shelves/46097359,world-literature,1
/work/shelves/46097359,my-collection,1
/work/shelves/46097359,history-geography,1
/work/shelves/46097359,bedside-table,1
/work/shelves/46097359,my-books,1
/work/shelves/46097359,half-read-limbo,1
/work/shelves/46097359,kmritsa-to-read,1
/work/shelves/46097359,kmritsa-philosophy,1
/work/shelves/46097359,kmritsa-library,1
/work/shelves/46097359,keepsake-owned,1
/work/shelves/46097359,english-major,1
/work/shelves/46097359,college-level,1
/work/shelves/46097359,zz-living-room,1
/work/shelves/46097359,various-nonfiction,1
/work/shelves/46097359,to-read-maybe,1
/work/shelves/46097359,to-read-books-i-own,1
/work/shelves/46097359,special-books,1
/work/shelves/46097359,signed-or-special-editions,1
/work/shelves/46097359,shelved,1
/work/shelves/46097359,read-with-mom,1
/work/shelves/46097359,political-philosophy,1
/work/shelves/46097359,philosopy,1
/work/shelves/46097359,partially-read,1
/work/shelves/46097359,ownhardcopy,1
/work/shelves/46097359,owned-unread,1
/work/shelves/46097359,owned-but-not-read,1
/work/shelves/46097359,own-mine,1
/work/shelves/488124,to-read,20
/work/shelves/488124,own,2
/work/shelves/488124,non-fiction,2
/work/shelves/488124,audio-wanted,1
/work/shelves/488124,ll-want_audio,1
/work/shelves/488124,tv,1
/work/shelves/488124,on-sale,1
/work/shelves/488124,fill-um,1
/work/shelves/488124,fiction,1
/work/shelves/488124,cul-poli-phil-art,1
/work/shelves/488124,philosophy,1
/work/shelves/488124,my-books,1
/work/shelves/488124,nonfiction,1
/work/shelves/488124,to-read-own,1
/work/shelves/488124,books-i-own,1
/work/shelves/488124,dr-mackey-office-books,1
/work/shelves/488124,rob-s-books,1
/work/shelves/488124,amazing-non-fiction,1
/work/shelves/488124,bunionectomy-recovery,1
/work/shelves/488124,a-fave,1
/work/shelves/488124,في-مكتبتي,1
/work/shelves/488124,sopranos,1
/work/shelves/488124,film-tv,1
/work/shelves/488121,travel,3
/work/shelves/488121,to-read,2
/work/shelves/488121,non-fiction,2
/work/shelves/488121,inlibrary,1
/work/shelves/295751,to-read,1086
/work/shelves/295751,poetry,293
/work/shelves/295751,currently-reading,133
/work/shelves/295751,own,55
/work/shelves/295751,classics,36
/work/shelves/295751,owned,31
/work/shelves/295751,books-i-own,22
/work/shelves/295751,favorites,22
/work/shelves/488131,to-read,43
/work/shelves/488131,poetry,4
/work/shelves/488131,literary-criticism,3
/work/shelves/295751,default,12
/work/shelves/295751,classic,12
/work/shelves/295751,my-library,9
/work/shelves/295751,reference,9
/work/shelves/295751,literature,9
/work/shelves/295751,poems,8
/work/shelves/295751,book-club,8
/work/shelves/295751,non-fiction,7
/work/shelves/295751,my-books,6
/work/shelves/295751,personal-library,6
/work/shelves/295751,anthology,6
/work/shelves/295751,homeschool,5
/work/shelves/488131,criticism,2
/work/shelves/488131,ebooks_wanted,1
/work/shelves/488131,own,1
/work/shelves/488131,no-plans,1
/work/shelves/488131,saggistica,1
/work/shelves/488131,audio_wanted,1
/work/shelves/488131,soon-to-read,1
/work/shelves/488131,nonf,1
/work/shelves/488131,irod,1
/work/shelves/488131,literary-criticism-and-theory,1
/work/shelves/295751,library,5
