BookID,Genre,NumberOfPeople
1,to-read,318419
1,fantasy,48243
1,favorites,39665
1,young-adult,15464
1,fiction,13655
1,harry-potter,9453
1,own,8237
1,books-i-own,8018
1,owned,7753
1,ya,5704
1,series,4762
1,favourites,4445
1,magic,3917
1,childrens,2812
1,re-read,2271
1,owned-books,2262
1,adventure,2028
1,children,1830
1,audiobook,1753
1,audiobooks,1669
1,middle-grade,1530
1,j-k-rowling,1522
1,childhood,1482
1,my-books,1374
1,all-time-favorites,1325
1,classics,1316
1,children-s,1305
1,sci-fi-fantasy,1275
1,reread,1247
1,default,1191
1,my-library,1050
1,novels,986
1,favorite-books,946
1,ya-fantasy,938
1,children-s-books,936
1,i-own,935
1,kids,904
1,favorite,896
1,fantasy-sci-fi,884
1,audio,794
1,english,755
1,paranormal,723
1,library,708
1,urban-fantasy,705
1,books,700
1,read-more-than-once,693
1,teen,665
1,re-reads,660
1,witches,656
1,british,629
1,jk-rowling,622
1,ya-fiction,583
1,mystery,573
1,novel,551
1,bookshelf,539
1,harry-potter-series,539
1,childrens-books,525
1,my-favorites,520
1,own-it,517
1,supernatural,511
1,my-bookshelf,506
1,kindle,501
1,faves,500
1,on-my-shelf,483
1,rereads,470
1,scifi-fantasy,466
1,young-adult-fiction,460
1,audible,427
1,childhood-favorites,426
1,favorite-series,423
1,ebook,422
1,audio-books,422
1,all-time-favourites,420
1,favs,416
1,favourite,413
1,made-me-cry,413
1,coming-of-age,410
1,fantasia,407
1,youth,406
1,romance,396
1,wizards,393
1,childhood-books,388
2,to-read,6403
2,favorites,147
2,currently-reading,130
2,fantasy,122
2,harry-potter,69
2,young-adult,46
2,fiction,32
2,magic,24
2,own,23
2,owned,21
2,ya,17
2,books-i-own,17
2,series,15
2,adventure,11
2,j-k-rowling,11
2,audio_wanted,10
2,favourites,9
2,supernatural,9
2,children,9
2,my-books,8
2,children-s-books,8
2,childrens,7
2,classics,6
2,middle-grade,6
2,childhood,6
2,paranormal,6
2,mystery,6
2,audio-wanted,5
2,shelfari-favorites,5
2,favorite-books,5
2,sci-fi-fantasy,5
2,witches,5
2,default,5
2,novels,5
2,book,4
2,wizards,4
2,loved,4
2,jk-rowling,4
2,action,4
2,teen,4
2,harry-potter-books,4
2,children-s,4
2,urban-fantasy,4
2,ya-fantasy,3
2,kids,3
2,harrypotter,3
2,favorite-authors,3
2,my-favorites,3
2,boxset,3
2,wishlist,3
2,re-read,3
2,youth,3
2,to-buy,3
2,love,3
2,all-time-favorites,3
2,not-interested,3
2,box-sets,3
2,other,3
2,have-read,3
2,dragons,3
2,has-a-movie,2
2,romance,2
2,children-and-ya-books,2
2,wanted,2
2,books-we-own,2
2,friendship,2
2,to-read-again,2
2,english,2
2,great,2
2,fiction-fantasy,2
2,really-good,2
2,ya-books,2
2,scifi-fantasy,2
2,omnibus,2
2,my-faves,2
2,have,2
2,harry-potter-series,2
2,contemporary,2
2,books,2
2,best-books-i-have-ever-read,2
2,amazing-books,2
2,owned-books,2
2,children-and-young-adult,2
2,movie,2
2,childhood-classic,2
2,fave-books,2
2,books-i-loved,2
2,humor,2
2,middle-school,2
2,finished-series,2
2,harry,2
2,bookshelf,2
2,science-fiction-fantasy,2
2,childhood-memories,2
2,i-own,2
3,to-read,1009837
3,currently-reading,151695
3,fantasy,62471
3,favorites,56828
3,fiction,18715
3,young-adult,18511
3,harry-potter,11629
3,own,10096
3,books-i-own,9976
3,owned,9549
3,ya,6903
3,series,6225
3,favourites,6218
3,magic,5117
3,childrens,4761
3,re-read,4004
3,middle-grade,3349
3,adventure,3062
3,children,3033
3,classics,2793
3,owned-books,2788
3,audiobook,2661
3,audiobooks,2511
3,reread,2347
3,childhood,2276
3,children-s,2200
3,all-time-favorites,1921
3,sci-fi-fantasy,1790
3,my-books,1760
3,j-k-rowling,1758
3,kids,1599
3,children-s-books,1551
3,novels,1487
3,favorite-books,1369
3,default,1333
3,my-library,1298
3,favorite,1234
3,audio,1189
3,re-reads,1136
3,ya-fantasy,1133
3,fantasy-sci-fi,1116
3,i-own,1113
3,english,1109
3,books,1040
3,library,1012
3,paranormal,985
3,read-more-than-once,983
3,urban-fantasy,900
3,witches,894
3,childrens-books,832
3,mystery,827
3,british,811
3,novel,809
3,kindle,797
3,faves,792
3,rereads,771
3,favorite-series,751
3,teen,748
3,childhood-favorites,728
3,my-favorites,720
3,bookshelf,704
3,ya-fiction,704
3,audio-books,686
3,jk-rowling,682
3,audible,679
3,supernatural,679
3,kids-books,666
3,on-my-shelf,665
3,read-in-english,662
3,harry-potter-series,652
3,ebook,640
3,classic,636
3,my-bookshelf,634
3,own-it,624
3,favs,615
3,fantasia,607
3,scifi-fantasy,604
3,re-reading,601
3,juvenile,588
3,children-s-literature,584
3,favourite,575
3,all-time-favourites,571
4,to-read,300278
4,currently-reading,49960
4,fantasy,48251
4,favorites,38046
4,young-adult,15616
4,fiction,13641
4,harry-potter,9581
4,own,8259
4,books-i-own,8061
4,owned,7664
4,ya,5651
4,series,4859
4,favourites,4328
4,magic,3934
4,childrens,2889
4,re-read,2350
4,owned-books,2245
4,adventure,2047
4,children,1867
4,audiobook,1851
4,audiobooks,1727
4,middle-grade,1674
4,childhood,1529
4,j-k-rowling,1526
4,my-books,1354
4,classics,1324
4,children-s,1311
4,reread,1306
4,sci-fi-fantasy,1284
4,all-time-favorites,1272
4,default,1189
4,my-library,1031
4,novels,1008
4,children-s-books,956
4,ya-fantasy,952
4,favorite-books,923
4,kids,916
4,i-own,915
4,fantasy-sci-fi,897
4,favorite,849
4,audio,829
4,english,746
4,paranormal,739
4,read-more-than-once,734
4,library,727
4,urban-fantasy,724
4,books,708
4,re-reads,690
4,witches,671
4,teen,667
4,british,619
4,jk-rowling,612
4,ya-fiction,576
4,novel,567
4,mystery,552
4,childrens-books,546
4,harry-potter-series,541
4,kindle,539
4,bookshelf,534
4,faves,518
4,my-bookshelf,515
4,own-it,513
4,on-my-shelf,510
4,supernatural,503
4,my-favorites,496
4,rereads,485
4,scifi-fantasy,455
4,childhood-favorites,455
4,young-adult-fiction,453
4,audible,448
4,audio-books,448
4,fantasia,444
4,youth,432
4,ebook,428
4,coming-of-age,428
4,all-time-favourites,418
4,favorite-series,417
4,favourite,409
4,wizards,402
4,kids-books,400
4,hp,391
4,childhood-books,390
4,made-me-cry,386
5,to-read,267308
5,currently-reading,63691
5,fantasy,52274
5,favorites,34742
5,young-adult,15563
5,fiction,15185
5,harry-potter,10305
5,own,8819
5,books-i-own,8779
5,owned,8372
5,ya,5607
5,series,5160
5,magic,4349
5,favourites,4004
5,childrens,3697
5,re-read,3099
5,middle-grade,2537
5,owned-books,2495
5,children,2440
5,adventure,2331
5,audiobook,2271
5,audiobooks,2108
5,childhood,1849
5,reread,1758
5,children-s,1728
5,classics,1620
5,j-k-rowling,1594
5,my-books,1502
5,sci-fi-fantasy,1330
5,default,1259
5,children-s-books,1210
5,kids,1178
5,novels,1175
5,all-time-favorites,1166
5,my-library,1123
5,i-own,976
5,ya-fantasy,973
5,audio,958
5,english,923
5,re-reads,918
5,fantasy-sci-fi,908
5,favorite-books,894
5,read-more-than-once,864
5,favorite,834
5,library,824
5,mystery,792
5,books,790
5,paranormal,787
5,urban-fantasy,770
5,witches,747
5,jk-rowling,685
5,childrens-books,678
5,british,678
5,novel,654
5,rereads,640
5,kindle,634
5,teen,621
5,bookshelf,604
5,harry-potter-series,586
5,on-my-shelf,585
5,my-bookshelf,576
5,ya-fiction,568
5,supernatural,552
5,own-it,548
5,audio-books,547
5,audible,538
5,childhood-favorites,518
5,read-in-english,512
5,juvenile,508
5,ebook,508
5,scifi-fantasy,491
5,my-favorites,486
5,youth,476
5,wizards,473
5,kids-books,471
5,faves,471
5,young-adult-fiction,470
5,childhood-books,459
5,fantasia,458
5,favorite-series,453
6,to-read,123595
6,currently-reading,15047
6,favorites,3936
6,science-fiction,3233
6,sci-fi,3137
6,fiction,2583
6,humor,1432
6,owned,1262
6,own,1177
6,fantasy,1084
6,classics,763
6,books-i-own,651
6,scifi,648
6,comedy,455
6,sci-fi-fantasy,390
6,humour,324
6,favourites,302
6,default,255
6,owned-books,228
6,series,226
6,funny,218
6,kindle,190
6,sf,187
6,library,181
6,my-library,172
6,adventure,168
6,novels,167
6,scifi-fantasy,155
6,my-books,152
6,fantasy-sci-fi,143
6,classic,131
6,wishlist,125
6,to-buy,121
6,english,115
6,douglas-adams,108
6,on-hold,107
6,all-time-favorites,105
6,british,100
6,science,97
6,space,95
6,abandoned,95
6,books,92
6,i-own,92
6,literature,91
6,adult,86
6,speculative-fiction,85
6,science-fiction-fantasy,82
6,re-read,81
6,ebook,80
6,fantasy-scifi,76
6,satire,73
6,bookshelf,72
6,unfinished,72
6,sci-fi-and-fantasy,72
6,ebooks,68
6,novel,68
6,tbr,67
6,home-library,66
6,dnf,63
6,did-not-finish,63
6,aliens,63
6,shelfari-favorites,62
6,favorite-books,60
6,humorous,60
6,favorite,59
6,young-adult,58
6,sff,56
6,on-my-shelf,56
6,own-it,55
6,have,53
6,fun,52
6,adult-fiction,52
6,collection,50
6,personal-library,49
6,to-re-read,47
6,owned-tbr,42
6,time-travel,41
6,contemporary,41
6,hardcover,40
6,to-reread,39
6,book-club,39
6,faves,39
6,audiobooks,39
6,recommended,37
6,fantascienza,36
6,omnibus,36
6,e-books,35
6,reread,35
8,to-read,274434
8,fantasy,51789
8,favorites,47775
8,currently-reading,47375
8,young-adult,15753
8,fiction,14919
8,harry-potter,10198
8,own,8708
8,books-i-own,8601
8,owned,8228
8,ya,5673
8,favourites,5660
8,series,5149
8,magic,4300
8,childrens,3559
8,re-read,2933
8,owned-books,2434
8,middle-grade,2344
8,adventure,2331
8,children,2330
8,to-read,2127
8,audiobook,2105
8,audiobooks,1969
8,childhood,1841
8,reread,1648
8,children-s,1635
8,j-k-rowling,1611
8,classics,1555
8,all-time-favorites,1542
8,my-books,1453
8,sci-fi-fantasy,1325
8,default,1231
8,children-s-books,1176
8,novels,1148
8,favorite-books,1144
8,kids,1104
8,my-library,1099
8,favorite,1053
8,ya-fantasy,978
8,i-own,970
8,audio,944
8,fantasy-sci-fi,938
8,english,873
8,re-reads,870
8,read-more-than-once,863
8,library,811
8,books,777
8,paranormal,771
8,urban-fantasy,770
8,faves,729
8,witches,721
8,british,684
8,mystery,662
8,jk-rowling,662
8,childrens-books,648
8,teen,643
8,time-travel,640
8,novel,623
8,rereads,601
8,kindle,596
8,bookshelf,586
8,my-favorites,580
8,harry-potter-series,577
8,ya-fiction,570
8,on-my-shelf,567
8,supernatural,566
8,my-bookshelf,554
8,favs,549
8,favoritos,530
8,own-it,528
8,childhood-favorites,526
8,audible,519
8,audio-books,514
8,all-time-favourites,511
8,scifi-fantasy,493
8,favourite,492
8,ebook,482
8,fantasia,480
8,juvenile,480
8,read-in-english,475
8,kids-books,468
8,youth,464
10,to-read,271011
10,currently-reading,57588
10,fantasy,50227
10,favorites,41412
10,young-adult,15908
10,fiction,14271
10,harry-potter,9881
10,own,8465
10,books-i-own,8264
10,owned,7924
10,ya,5726
10,series,5059
10,favourites,4656
10,magic,4173
10,childrens,3150
10,re-read,2603
10,owned-books,2318
10,adventure,2207
10,children,2032
10,audiobook,1990
10,middle-grade,1880
10,audiobooks,1830
10,childhood,1701
10,j-k-rowling,1581
10,reread,1476
10,children-s,1464
10,classics,1452
10,my-books,1411
10,all-time-favorites,1406
10,sci-fi-fantasy,1310
10,default,1197
10,novels,1091
10,children-s-books,1076
10,my-library,1064
10,kids,1036
10,favorite-books,999
10,ya-fantasy,963
10,i-own,949
10,fantasy-sci-fi,921
10,favorite,900
10,audio,887
10,read-more-than-once,802
10,english,792
10,re-reads,782
10,library,774
10,paranormal,752
10,urban-fantasy,751
10,books,728
10,dragons,719
10,witches,686
10,british,657
10,teen,654
10,jk-rowling,646
10,mystery,604
10,novel,598
10,childrens-books,573
10,ya-fiction,568
10,kindle,567
10,harry-potter-series,553
10,rereads,545
10,faves,544
10,bookshelf,541
10,supernatural,528
10,my-favorites,524
10,my-bookshelf,523
10,on-my-shelf,521
10,own-it,512
10,audio-books,488
10,childhood-favorites,482
10,scifi-fantasy,474
10,audible,468
10,ebook,463
10,fantasia,461
10,youth,459
10,young-adult-fiction,450
10,all-time-favourites,441
10,favorite-series,440
10,favs,436
10,coming-of-age,431
10,childhood-books,420
10,juvenile,419
10,kids-books,418
11,to-read,5707
11,favorites,373
11,fantasy,286
11,currently-reading,225
11,harry-potter,100
11,fiction,97
11,young-adult,85
11,ya,40
11,own,35
11,magic,34
11,owned,32
11,series,30
11,books-i-own,23
11,adventure,19
11,favourites,17
11,childrens,17
11,shelfari-favorites,16
11,classics,15
11,children,15
11,owned-books,11
11,my-books,11
11,j-k-rowling,11
11,fantasy-sci-fi,11
11,audio_wanted,10
11,favs,10
11,favorite-books,10
11,jk-rowling,10
11,children-s,10
11,children-s-books,9
11,all-time-favorites,9
11,my-favorites,9
11,harrypotter,9
11,witches,8
11,favorite,8
11,wizards,8
11,wishlist,8
11,faves,8
11,sci-fi-fantasy,7
11,re-read,7
11,childhood-favorites,7
11,novels,7
11,childhood-books,7
11,love,7
11,kids,7
11,english,7
11,middle-grade,6
11,read-again,6
11,mystery,6
11,paranormal,6
11,urban-fantasy,5
11,childrens-books,5
11,childhood,5
11,favourite,5
11,to-buy,5
11,fantasy-fiction,5
11,loved,5
11,not-interested,5
11,young-adult-lit,5
11,all-time-favourites,5
11,teen,5
11,box-sets,5
11,other,5
11,friendship,5
11,science-fiction,5
11,dragons,5
11,audio-wanted,4
11,ya-fantasy,4
11,have,4
11,shelfari-wishlist,4
11,sci-fi-and-fantasy,4
11,home-library,4
11,fantasy-and-sci-fi,4
11,audiobooks,4
11,childhood-favs,4
11,audiobook,4
11,favorite-series,4
11,books,4
11,already-read,4
11,contemporary,4
11,harry-potter-series,4
11,youngadult,4
11,young-adult-fiction,4
11,to-re-read,4
11,juvenile,4
11,harry,4
11,children-s-literature,4
11,fantasía,3
11,own-physical,3
11,must-read,3
11,fantasy-read,3
11,young-adult-books,3
11,part-of-a-series,3
11,on-my-shelf,3
11,my-favorite-books,3
11,high-school,3
11,fiction-fantasy,3
12,to-read,346362
12,currently-reading,23039
12,non-fiction,8162
