BookID,Title
1,Harry Potter and the Half-Blood Prince
2,Harry Potter and the Order of the Phoenix
3,Harry Potter and the Sorcerer's Stone
4,Harry Potter and the Chamber of Secrets
5,Harry Potter and the Prisoner of Azkaban
6,Harry Potter and the Goblet of Fire
8,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)"
10,Harry Potter Collection
11,The Hitchhiker's Guide to the Galaxy
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story
21,A Short History of Nearly Everything
22,Bill Bryson's African Diary
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right
24,In a Sunburned Country
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away
26,The Lost Continent: Travels in Small Town America
27,Neither Here nor There: Travels in Europe
28,Notes from a Small Island
29,The Mother Tongue: English and How It Got That Way
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings
31,The Lord of the Rings
34,The Fellowship of the Ring
36,The Lord of the Rings: Weapons and Warfare
37,The Lord of the Rings: Complete Visual Companion
40,Cooking with Fernet Branca
45,Agile Web Development with Rails: A Pragmatic Guide
50,Hatchet
53,Guts: The True Stories behind Hatchet and the Brian Books
55,Hatchet Jobs: Writings on Contemporary Fiction
57,A Changeling for All Seasons
58,Changeling
59,The Changeling Sea
60,Changelings
61,The Changeling
63,The Changeling
65,Shadows in the Starlight
66,The Changeling
67,The Known World
71,"Traders, Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives"
74,The John McPhee Reader
75,Uncommon Carriers
76,Heirs of General Practice
77,The Control of Nature
78,Annals of the Former World
79,Coming Into the Country
80,La Place de la Concorde Suisse
81,Giving Good Weight
82,The Second John McPhee Reader
83,Rising from the Plains
85,The Heidi Chronicles
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth
93,Heidi
97,The Birthdays
98,What to Expect the First Year
107,Dreamer of Dune: The Biography of Frank Herbert
110,The Road to Dune
106,Dune Messiah
103,God Emperor of Dune
105,Chapterhouse: Dune
112,Children of Dune
104,Dune
